,state,action,reward,next_state,done
44,[90.39061737 88.72601318 89.8567276  90.37762451 91.33439636 94.60761261],2,0.0,[88.72601318 89.8567276  90.37762451 91.33439636 94.60761261 94.33667755],False
45,[88.72601318 89.8567276  90.37762451 91.33439636 94.60761261 94.33667755],2,0.0,[89.8567276  90.37762451 91.33439636 94.60761261 94.33667755 92.45711517],False
46,[89.8567276  90.37762451 91.33439636 94.60761261 94.33667755 92.45711517],2,0.0,[90.37762451 91.33439636 94.60761261 94.33667755 92.45711517 94.75757599],False
47,[90.37762451 91.33439636 94.60761261 94.33667755 92.45711517 94.75757599],1,-0.01,[91.33439636 94.60761261 94.33667755 92.45711517 94.75757599 95.36344147],False
48,[91.33439636 94.60761261 94.33667755 92.45711517 94.75757599 95.36344147],0,-0.01,[94.60761261 94.33667755 92.45711517 94.75757599 95.36344147 94.92754364],False
49,[94.60761261 94.33667755 92.45711517 94.75757599 95.36344147 94.92754364],0,-0.4358978271484375,"[ 94.33667755  92.45711517  94.75757599  95.36344147  94.92754364
 103.77445221]",False
50,"[ 94.33667755  92.45711517  94.75757599  95.36344147  94.92754364
 103.77445221]",2,17.673817138671875,"[ 92.45711517  94.75757599  95.36344147  94.92754364 103.77445221
 106.44381714]",False
51,"[ 92.45711517  94.75757599  95.36344147  94.92754364 103.77445221
 106.44381714]",2,2.6693649291992188,"[ 94.75757599  95.36344147  94.92754364 103.77445221 106.44381714
 113.87406158]",False
52,"[ 94.75757599  95.36344147  94.92754364 103.77445221 106.44381714
 113.87406158]",2,0.0,"[ 95.36344147  94.92754364 103.77445221 106.44381714 113.87406158
 114.7978363 ]",False
53,"[ 95.36344147  94.92754364 103.77445221 106.44381714 113.87406158
 114.7978363 ]",2,0.0,"[ 94.92754364 103.77445221 106.44381714 113.87406158 114.7978363
 110.47386169]",False
54,"[ 94.92754364 103.77445221 106.44381714 113.87406158 114.7978363
 110.47386169]",2,0.0,"[103.77445221 106.44381714 113.87406158 114.7978363  110.47386169
 109.60707092]",False
55,"[103.77445221 106.44381714 113.87406158 114.7978363  110.47386169
 109.60707092]",0,-0.02,"[106.44381714 113.87406158 114.7978363  110.47386169 109.60707092
 114.97280121]",False
56,"[106.44381714 113.87406158 114.7978363  110.47386169 109.60707092
 114.97280121]",2,5.345730285644532,"[113.87406158 114.7978363  110.47386169 109.60707092 114.97280121
 116.40946198]",False
57,"[113.87406158 114.7978363  110.47386169 109.60707092 114.97280121
 116.40946198]",0,-0.02,"[114.7978363  110.47386169 109.60707092 114.97280121 116.40946198
 122.41103363]",False
58,"[114.7978363  110.47386169 109.60707092 114.97280121 116.40946198
 122.41103363]",1,5.991571655273438,"[110.47386169 109.60707092 114.97280121 116.40946198 122.41103363
 120.96936798]",False
59,"[110.47386169 109.60707092 114.97280121 116.40946198 122.41103363
 120.96936798]",2,-1.4516656494140625,"[109.60707092 114.97280121 116.40946198 122.41103363 120.96936798
 120.85940552]",False
60,"[109.60707092 114.97280121 116.40946198 122.41103363 120.96936798
 120.85940552]",0,-0.02,"[114.97280121 116.40946198 122.41103363 120.96936798 120.85940552
 121.76119232]",False
61,"[114.97280121 116.40946198 122.41103363 120.96936798 120.85940552
 121.76119232]",0,0.9017868041992188,"[116.40946198 122.41103363 120.96936798 120.85940552 121.76119232
 120.8913269 ]",False
62,"[116.40946198 122.41103363 120.96936798 120.85940552 121.76119232
 120.8913269 ]",1,-1.7497308349609375,"[122.41103363 120.96936798 120.85940552 121.76119232 120.8913269
 125.18065643]",False
63,"[122.41103363 120.96936798 120.85940552 121.76119232 120.8913269
 125.18065643]",1,8.578659057617188,"[120.96936798 120.85940552 121.76119232 120.8913269  125.18065643
 129.58998108]",False
64,"[120.96936798 120.85940552 121.76119232 120.8913269  125.18065643
 129.58998108]",2,8.808649291992188,"[120.85940552 121.76119232 120.8913269  125.18065643 129.58998108
 131.85964966]",False
65,"[120.85940552 121.76119232 120.8913269  125.18065643 129.58998108
 131.85964966]",1,2.2596685791015627,"[121.76119232 120.8913269  125.18065643 129.58998108 131.85964966
 130.95977783]",False
66,"[121.76119232 120.8913269  125.18065643 129.58998108 131.85964966
 130.95977783]",2,-0.909871826171875,"[120.8913269  125.18065643 129.58998108 131.85964966 130.95977783
 135.55906677]",False
67,"[120.8913269  125.18065643 129.58998108 131.85964966 130.95977783
 135.55906677]",0,-0.02,"[125.18065643 129.58998108 131.85964966 130.95977783 135.55906677
 130.75979614]",False
68,"[125.18065643 129.58998108 131.85964966 130.95977783 135.55906677
 130.75979614]",0,-4.7992706298828125,"[129.58998108 131.85964966 130.95977783 135.55906677 130.75979614
 126.55045319]",False
69,"[129.58998108 131.85964966 130.95977783 135.55906677 130.75979614
 126.55045319]",1,-8.428685913085937,"[131.85964966 130.95977783 135.55906677 130.75979614 126.55045319
 118.09175873]",False
70,"[131.85964966 130.95977783 135.55906677 130.75979614 126.55045319
 118.09175873]",2,-16.927388916015627,"[130.95977783 135.55906677 130.75979614 126.55045319 118.09175873
 126.07051849]",False
71,"[130.95977783 135.55906677 130.75979614 126.55045319 118.09175873
 126.07051849]",2,7.978759765625,"[135.55906677 130.75979614 126.55045319 118.09175873 126.07051849
 126.38048553]",False
72,"[135.55906677 130.75979614 126.55045319 118.09175873 126.07051849
 126.38048553]",2,0.0,"[130.75979614 126.55045319 118.09175873 126.07051849 126.38048553
 123.97084808]",False
73,"[130.75979614 126.55045319 118.09175873 126.07051849 126.38048553
 123.97084808]",1,-0.01,"[126.55045319 118.09175873 126.07051849 126.38048553 123.97084808
 123.5209198 ]",False
74,"[126.55045319 118.09175873 126.07051849 126.38048553 123.97084808
 123.5209198 ]",2,-0.01,"[118.09175873 126.07051849 126.38048553 123.97084808 123.5209198
 124.2808075 ]",False
75,"[118.09175873 126.07051849 126.38048553 123.97084808 123.5209198
 124.2808075 ]",0,-0.02,"[126.07051849 126.38048553 123.97084808 123.5209198  124.2808075
 122.65105438]",False
76,"[126.07051849 126.38048553 123.97084808 123.5209198  124.2808075
 122.65105438]",0,-1.6297531127929688,"[126.38048553 123.97084808 123.5209198  124.2808075  122.65105438
 128.26019287]",False
77,"[126.38048553 123.97084808 123.5209198  124.2808075  122.65105438
 128.26019287]",2,11.198276977539063,"[123.97084808 123.5209198  124.2808075  122.65105438 128.26019287
 125.81056976]",False
78,"[123.97084808 123.5209198  124.2808075  122.65105438 128.26019287
 125.81056976]",2,-2.4496231079101562,"[123.5209198  124.2808075  122.65105438 128.26019287 125.81056976
 128.18019104]",False
79,"[123.5209198  124.2808075  122.65105438 128.26019287 125.81056976
 128.18019104]",1,-0.01,"[124.2808075  122.65105438 128.26019287 125.81056976 128.18019104
 131.35972595]",False
80,"[124.2808075  122.65105438 128.26019287 125.81056976 128.18019104
 131.35972595]",0,-0.01,"[122.65105438 128.26019287 125.81056976 128.18019104 131.35972595
 134.88917542]",False
81,"[122.65105438 128.26019287 125.81056976 128.18019104 131.35972595
 134.88917542]",2,3.509449462890625,"[128.26019287 125.81056976 128.18019104 131.35972595 134.88917542
 127.38033295]",False
82,"[128.26019287 125.81056976 128.18019104 131.35972595 134.88917542
 127.38033295]",2,0.0,"[125.81056976 128.18019104 131.35972595 134.88917542 127.38033295
 129.220047  ]",False
83,"[125.81056976 128.18019104 131.35972595 134.88917542 127.38033295
 129.220047  ]",1,-0.01,"[128.18019104 131.35972595 134.88917542 127.38033295 129.220047
 128.42016602]",False
84,"[128.18019104 131.35972595 134.88917542 127.38033295 129.220047
 128.42016602]",0,-0.01,"[131.35972595 134.88917542 127.38033295 129.220047   128.42016602
 126.34048462]",False
85,"[131.35972595 134.88917542 127.38033295 129.220047   128.42016602
 126.34048462]",2,-2.099681396484375,"[134.88917542 127.38033295 129.220047   128.42016602 126.34048462
 117.97177124]",False
86,"[134.88917542 127.38033295 129.220047   128.42016602 126.34048462
 117.97177124]",1,-0.01,"[127.38033295 129.220047   128.42016602 126.34048462 117.97177124
 121.07128906]",False
87,"[127.38033295 129.220047   128.42016602 126.34048462 117.97177124
 121.07128906]",2,-0.01,"[129.220047   128.42016602 126.34048462 117.97177124 121.07128906
 117.91178894]",False
88,"[129.220047   128.42016602 126.34048462 117.97177124 121.07128906
 117.91178894]",1,-0.01,"[128.42016602 126.34048462 117.97177124 121.07128906 117.91178894
 123.5209198 ]",False
89,"[128.42016602 126.34048462 117.97177124 121.07128906 117.91178894
 123.5209198 ]",2,-0.01,"[126.34048462 117.97177124 121.07128906 117.91178894 123.5209198
 122.57106781]",False
90,"[126.34048462 117.97177124 121.07128906 117.91178894 123.5209198
 122.57106781]",2,0.0,"[117.97177124 121.07128906 117.91178894 123.5209198  122.57106781
 114.23235321]",False
91,"[117.97177124 121.07128906 117.91178894 123.5209198  122.57106781
 114.23235321]",2,0.0,"[121.07128906 117.91178894 123.5209198  122.57106781 114.23235321
 112.26265717]",False
92,"[121.07128906 117.91178894 123.5209198  122.57106781 114.23235321
 112.26265717]",2,0.0,"[117.91178894 123.5209198  122.57106781 114.23235321 112.26265717
 113.04253387]",False
93,"[117.91178894 123.5209198  122.57106781 114.23235321 112.26265717
 113.04253387]",2,0.0,"[123.5209198  122.57106781 114.23235321 112.26265717 113.04253387
 111.57276154]",False
94,"[123.5209198  122.57106781 114.23235321 112.26265717 113.04253387
 111.57276154]",0,-0.02,"[122.57106781 114.23235321 112.26265717 113.04253387 111.57276154
 103.71398163]",False
95,"[122.57106781 114.23235321 112.26265717 113.04253387 111.57276154
 103.71398163]",1,-7.868779907226562,"[114.23235321 112.26265717 113.04253387 111.57276154 103.71398163
 117.00192261]",True
96,[63.0091362  66.14125061 69.31235504 68.20366669 70.07912445 69.62125397],0,-0.01,[66.14125061 69.31235504 68.20366669 70.07912445 69.62125397 72.11256409],False
97,[66.14125061 69.31235504 68.20366669 70.07912445 69.62125397 72.11256409],0,2.4913101196289062,[69.31235504 68.20366669 70.07912445 69.62125397 72.11256409 72.2275238 ],False
98,[69.31235504 68.20366669 70.07912445 69.62125397 72.11256409 72.2275238 ],1,0.21991943359375,[68.20366669 70.07912445 69.62125397 72.11256409 72.2275238  72.1075592 ],False
99,[68.20366669 70.07912445 69.62125397 72.11256409 72.2275238  72.1075592 ],2,-0.24992919921875,[70.07912445 69.62125397 72.11256409 72.2275238  72.1075592  73.87905884],False
100,[70.07912445 69.62125397 72.11256409 72.2275238  72.1075592  73.87905884],1,1.7614996337890625,[69.62125397 72.11256409 72.2275238  72.1075592  73.87905884 72.63739777],False
101,[69.62125397 72.11256409 72.2275238  72.1075592  73.87905884 72.63739777],0,-1.2516610717773438,[72.11256409 72.2275238  72.1075592  73.87905884 72.63739777 72.59241486],False
102,[72.11256409 72.2275238  72.1075592  73.87905884 72.63739777 72.59241486],1,-0.0999658203125,[72.2275238  72.1075592  73.87905884 72.63739777 72.59241486 69.43231201],False
103,[72.2275238  72.1075592  73.87905884 72.63739777 72.59241486 69.43231201],0,-6.330205688476562,[72.1075592  73.87905884 72.63739777 72.59241486 69.43231201 67.45288086],False
104,[72.1075592  73.87905884 72.63739777 72.59241486 69.43231201 67.45288086],1,-5.94829345703125,[73.87905884 72.63739777 72.59241486 69.43231201 67.45288086 78.51574707],False
105,[73.87905884 72.63739777 72.59241486 69.43231201 67.45288086 78.51574707],0,33.1785986328125,[72.63739777 72.59241486 69.43231201 67.45288086 78.51574707 78.79465485],False
106,[72.63739777 72.59241486 69.43231201 67.45288086 78.51574707 78.79465485],1,1.105631103515625,[72.59241486 69.43231201 67.45288086 78.51574707 78.79465485 79.06958771],False
107,[72.59241486 69.43231201 67.45288086 78.51574707 78.79465485 79.06958771],1,1.0997314453125,[69.43231201 67.45288086 78.51574707 78.79465485 79.06958771 78.67868805],False
108,[69.43231201 67.45288086 78.51574707 78.79465485 79.06958771 78.67868805],2,-1.5735986328125,[67.45288086 78.51574707 78.79465485 79.06958771 78.67868805 77.64099121],False
109,[67.45288086 78.51574707 78.79465485 79.06958771 78.67868805 77.64099121],0,-3.1330905151367188,[78.51574707 78.79465485 79.06958771 78.67868805 77.64099121 79.08957672],False
110,[78.51574707 78.79465485 79.06958771 78.67868805 77.64099121 79.08957672],0,5.794342041015625,[78.79465485 79.06958771 78.67868805 77.64099121 79.08957672 82.25567627],False
111,[78.79465485 79.06958771 78.67868805 77.64099121 79.08957672 82.25567627],0,15.830497741699219,[79.06958771 78.67868805 77.64099121 79.08957672 82.25567627 85.21282959],False
112,[79.06958771 78.67868805 77.64099121 79.08957672 82.25567627 85.21282959],1,17.732919921875,[78.67868805 77.64099121 79.08957672 82.25567627 85.21282959 85.94366455],False
113,[78.67868805 77.64099121 79.08957672 82.25567627 85.21282959 85.94366455],0,4.375009765625,[77.64099121 79.08957672 82.25567627 85.21282959 85.94366455 88.67901611],False
114,[77.64099121 79.08957672 82.25567627 85.21282959 85.94366455 88.67901611],2,19.1274609375,[79.08957672 82.25567627 85.21282959 85.94366455 88.67901611 92.64707184],False
115,[79.08957672 82.25567627 85.21282959 85.94366455 88.67901611 92.64707184],2,23.808334350585938,[82.25567627 85.21282959 85.94366455 88.67901611 92.64707184 87.50730133],False
116,[82.25567627 85.21282959 85.94366455 88.67901611 92.64707184 87.50730133],0,-25.7188525390625,[85.21282959 85.94366455 88.67901611 92.64707184 87.50730133 85.75370789],False
117,[85.21282959 85.94366455 88.67901611 92.64707184 87.50730133 85.75370789],2,-10.541560668945312,[85.94366455 88.67901611 92.64707184 87.50730133 85.75370789 91.89126587],False
118,[85.94366455 88.67901611 92.64707184 87.50730133 85.75370789 91.89126587],1,30.677789916992186,[88.67901611 92.64707184 87.50730133 85.75370789 91.89126587 90.86650085],False
119,[88.67901611 92.64707184 87.50730133 85.75370789 91.89126587 90.86650085],1,-5.1238250732421875,[92.64707184 87.50730133 85.75370789 91.89126587 90.86650085 87.92319489],False
120,[92.64707184 87.50730133 85.75370789 91.89126587 90.86650085 87.92319489],0,-14.726529846191406,[87.50730133 85.75370789 91.89126587 90.86650085 87.92319489 87.81621552],False
121,[87.50730133 85.75370789 91.89126587 90.86650085 87.92319489 87.81621552],1,-0.651876220703125,[85.75370789 91.89126587 90.86650085 87.92319489 87.81621552 88.4340744 ],False
122,[85.75370789 91.89126587 90.86650085 87.92319489 87.81621552 88.4340744 ],2,3.6971533203125,[91.89126587 90.86650085 87.92319489 87.81621552 88.4340744  89.37686157],False
123,[91.89126587 90.86650085 87.92319489 87.81621552 88.4340744  89.37686157],2,4.713935852050781,[90.86650085 87.92319489 87.81621552 88.4340744  89.37686157 90.35062408],False
124,[90.86650085 87.92319489 87.81621552 88.4340744  89.37686157 90.35062408],1,3.885050048828125,[87.92319489 87.81621552 88.4340744  89.37686157 90.35062408 91.41336823],False
125,[87.92319489 87.81621552 88.4340744  89.37686157 90.35062408 91.41336823],0,4.2409765625,[87.81621552 88.4340744  89.37686157 90.35062408 91.41336823 94.26670074],False
126,[87.81621552 88.4340744  89.37686157 90.35062408 91.41336823 94.26670074],1,14.25666259765625,[88.4340744  89.37686157 90.35062408 91.41336823 94.26670074 94.97952271],False
127,[88.4340744  89.37686157 90.35062408 91.41336823 94.26670074 94.97952271],0,3.554109802246094,[89.37686157 90.35062408 91.41336823 94.26670074 94.97952271 92.53910065],False
128,[89.37686157 90.35062408 91.41336823 94.26670074 94.97952271 92.53910065],0,-14.642532348632812,[90.35062408 91.41336823 94.26670074 94.97952271 92.53910065 90.22864532],False
129,[90.35062408 91.41336823 94.26670074 94.97952271 92.53910065 90.22864532],0,-16.173187255859375,[91.41336823 94.26670074 94.97952271 92.53910065 90.22864532 90.33462524],False
130,[91.41336823 94.26670074 94.97952271 92.53910065 90.22864532 90.33462524],1,0.83783935546875,[94.26670074 94.97952271 92.53910065 90.22864532 90.33462524 90.3416214 ],False
131,[94.26670074 94.97952271 92.53910065 90.22864532 90.33462524 90.3416214 ],0,0.04596923828125,[94.97952271 92.53910065 90.22864532 90.33462524 90.3416214  89.43083954],False
132,[94.97952271 92.53910065 90.22864532 90.33462524 90.3416214  89.43083954],2,-8.217036743164062,[92.53910065 90.22864532 90.33462524 90.3416214  89.43083954 88.94295502],False
133,[92.53910065 90.22864532 90.33462524 90.3416214  89.43083954 88.94295502],2,-3.903076171875,[90.22864532 90.33462524 90.3416214  89.43083954 88.94295502 85.88467407],False
134,[90.22864532 90.33462524 90.3416214  89.43083954 88.94295502 85.88467407],1,-21.417966613769533,[90.33462524 90.3416214  89.43083954 88.94295502 85.88467407 87.98718262],False
135,[90.33462524 90.3416214  89.43083954 88.94295502 85.88467407 87.98718262],0,14.707559814453125,[90.3416214  89.43083954 88.94295502 85.88467407 87.98718262 87.11238861],False
136,[90.3416214  89.43083954 88.94295502 85.88467407 87.98718262 87.11238861],0,-6.99835205078125,[89.43083954 88.94295502 85.88467407 87.98718262 87.11238861 85.33380127],False
137,[89.43083954 88.94295502 85.88467407 87.98718262 87.11238861 85.33380127],0,-16.007286071777344,[88.94295502 85.88467407 87.98718262 87.11238861 85.33380127 87.01840973],False
138,[88.94295502 85.88467407 87.98718262 87.11238861 85.33380127 87.01840973],0,16.846084594726562,[85.88467407 87.98718262 87.11238861 85.33380127 87.01840973 90.59456635],False
139,[85.88467407 87.98718262 87.11238861 85.33380127 87.01840973 90.59456635],0,39.33772277832031,[87.98718262 87.11238861 85.33380127 87.01840973 90.59456635 88.16513824],False
140,[87.98718262 87.11238861 85.33380127 87.01840973 90.59456635 88.16513824],1,-29.16313720703125,[87.11238861 85.33380127 87.01840973 90.59456635 88.16513824 85.98065186],False
141,[87.11238861 85.33380127 87.01840973 90.59456635 88.16513824 85.98065186],1,-26.213836669921875,[85.33380127 87.01840973 90.59456635 88.16513824 85.98065186 87.39432526],False
142,[85.33380127 87.01840973 90.59456635 88.16513824 85.98065186 87.39432526],0,16.954080810546873,[87.01840973 90.59456635 88.16513824 85.98065186 87.39432526 84.01512146],False
143,[87.01840973 90.59456635 88.16513824 85.98065186 87.39432526 84.01512146],0,-43.929649353027344,[90.59456635 88.16513824 85.98065186 87.39432526 84.01512146 84.65097046],False
144,[90.59456635 88.16513824 85.98065186 87.39432526 84.01512146 84.65097046],0,8.901885986328125,[88.16513824 85.98065186 87.39432526 84.01512146 84.65097046 76.18197632],False
145,[88.16513824 85.98065186 87.39432526 84.01512146 84.65097046 76.18197632],0,-127.034912109375,[85.98065186 87.39432526 84.01512146 84.65097046 76.18197632 79.49919128],False
146,[85.98065186 87.39432526 84.01512146 84.65097046 76.18197632 79.49919128],0,53.075439453125,[87.39432526 84.01512146 84.65097046 76.18197632 79.49919128 82.40350342],False
147,[87.39432526 84.01512146 84.65097046 76.18197632 79.49919128 82.40350342],0,49.37330627441406,[84.01512146 84.65097046 76.18197632 79.49919128 82.40350342 79.65815735],False
148,[84.01512146 84.65097046 76.18197632 79.49919128 82.40350342 79.65815735],0,-49.416229248046875,[84.65097046 76.18197632 79.49919128 82.40350342 79.65815735 82.61245728],False
149,[84.65097046 76.18197632 79.49919128 82.40350342 79.65815735 82.61245728],0,56.13169860839844,[76.18197632 79.49919128 82.40350342 79.65815735 82.61245728 87.71424866],False
150,[76.18197632 79.49919128 82.40350342 79.65815735 82.61245728 87.71424866],1,102.02582763671874,[79.49919128 82.40350342 79.65815735 82.61245728 87.71424866 87.7362442 ],False
151,[79.49919128 82.40350342 79.65815735 82.61245728 87.71424866 87.7362442 ],2,0.429910888671875,[82.40350342 79.65815735 82.61245728 87.71424866 87.7362442  86.38156128],False
152,[82.40350342 79.65815735 82.61245728 87.71424866 87.7362442  86.38156128],1,-25.748975524902345,[79.65815735 82.61245728 87.71424866 87.7362442  86.38156128 83.02135468],False
153,[79.65815735 82.61245728 87.71424866 87.7362442  86.38156128 83.02135468],2,-63.85392547607422,[82.61245728 87.71424866 87.7362442  86.38156128 83.02135468 85.79669952],False
154,[82.61245728 87.71424866 87.7362442  86.38156128 83.02135468 85.79669952],0,49.93620727539062,[87.71424866 87.7362442  86.38156128 83.02135468 85.79669952 88.76799774],False
