,state,action,reward,next_state,done
56,"[428.52832031 428.68768311 427.54208374 413.09707642 413.55532837
 411.95141602]",1,-6.4156494140625,"[428.68768311 427.54208374 413.09707642 413.55532837 411.95141602
 414.49176025]",False
57,"[428.68768311 427.54208374 413.09707642 413.55532837 411.95141602
 414.49176025]",1,10.161376953125,"[427.54208374 413.09707642 413.55532837 411.95141602 414.49176025
 422.40164185]",False
58,"[427.54208374 413.09707642 413.55532837 411.95141602 414.49176025
 422.40164185]",1,31.6395263671875,"[413.09707642 413.55532837 411.95141602 414.49176025 422.40164185
 422.90966797]",False
59,"[413.09707642 413.55532837 411.95141602 414.49176025 422.40164185
 422.90966797]",1,2.0321044921875,"[413.55532837 411.95141602 414.49176025 422.40164185 422.90966797
 422.24224854]",False
60,"[413.55532837 411.95141602 414.49176025 422.40164185 422.90966797
 422.24224854]",0,-2.679677734375,"[411.95141602 414.49176025 422.40164185 422.90966797 422.24224854
 426.24697876]",False
61,"[411.95141602 414.49176025 422.40164185 422.90966797 422.24224854
 426.24697876]",1,20.013651123046873,"[414.49176025 422.40164185 422.90966797 422.24224854 426.24697876
 431.03872681]",False
62,"[414.49176025 422.40164185 422.90966797 422.24224854 426.24697876
 431.03872681]",1,23.958740234375,"[422.40164185 422.90966797 422.24224854 426.24697876 431.03872681
 439.38696289]",False
63,"[422.40164185 422.90966797 422.24224854 426.24697876 431.03872681
 439.38696289]",1,41.741180419921875,"[422.90966797 422.24224854 426.24697876 431.03872681 439.38696289
 439.90499878]",False
64,"[422.90966797 422.24224854 426.24697876 431.03872681 439.38696289
 439.90499878]",0,2.580179443359375,"[422.24224854 426.24697876 431.03872681 439.38696289 439.90499878
 440.89123535]",False
65,"[422.24224854 426.24697876 431.03872681 439.38696289 439.90499878
 440.89123535]",1,5.90741943359375,"[426.24697876 431.03872681 439.38696289 439.90499878 440.89123535
 446.66921997]",False
66,"[426.24697876 431.03872681 439.38696289 439.90499878 440.89123535
 446.66921997]",2,34.65790771484375,"[431.03872681 439.38696289 439.90499878 440.89123535 446.66921997
 444.64694214]",False
67,"[431.03872681 439.38696289 439.90499878 440.89123535 446.66921997
 444.64694214]",0,-10.13138916015625,"[439.38696289 439.90499878 440.89123535 446.66921997 444.64694214
 444.0093689 ]",False
68,"[439.38696289 439.90499878 440.89123535 446.66921997 444.64694214
 444.0093689 ]",1,-3.835439453125,"[439.90499878 440.89123535 446.66921997 444.64694214 444.0093689
 448.07388306]",False
69,"[439.90499878 440.89123535 446.66921997 444.64694214 444.0093689
 448.07388306]",1,24.3870849609375,"[440.89123535 446.66921997 444.64694214 444.0093689  448.07388306
 445.97192383]",False
70,"[440.89123535 446.66921997 444.64694214 444.0093689  448.07388306
 445.97192383]",1,-12.61175537109375,"[446.66921997 444.64694214 444.0093689  448.07388306 445.97192383
 449.23944092]",False
71,"[446.66921997 444.64694214 444.0093689  448.07388306 445.97192383
 449.23944092]",2,19.5951025390625,"[444.64694214 444.0093689  448.07388306 445.97192383 449.23944092
 450.44485474]",False
72,"[444.64694214 444.0093689  448.07388306 445.97192383 449.23944092
 450.44485474]",1,6.017069091796875,"[444.0093689  448.07388306 445.97192383 449.23944092 450.44485474
 451.13223267]",False
73,"[444.0093689  448.07388306 445.97192383 449.23944092 450.44485474
 451.13223267]",1,3.4368896484375,"[448.07388306 445.97192383 449.23944092 450.44485474 451.13223267
 445.25463867]",False
74,"[448.07388306 445.97192383 449.23944092 450.44485474 451.13223267
 445.25463867]",0,-29.397969970703127,"[445.97192383 449.23944092 450.44485474 451.13223267 445.25463867
 454.99752808]",False
75,"[445.97192383 449.23944092 450.44485474 451.13223267 445.25463867
 454.99752808]",1,58.44733642578125,"[449.23944092 450.44485474 451.13223267 445.25463867 454.99752808
 457.5378418 ]",False
76,"[449.23944092 450.44485474 451.13223267 445.25463867 454.99752808
 457.5378418 ]",1,15.24188232421875,"[450.44485474 451.13223267 445.25463867 454.99752808 457.5378418
 459.02218628]",False
77,"[450.44485474 451.13223267 445.25463867 454.99752808 457.5378418
 459.02218628]",1,8.90606689453125,"[451.13223267 445.25463867 454.99752808 457.5378418  459.02218628
 465.78643799]",False
78,"[451.13223267 445.25463867 454.99752808 457.5378418  459.02218628
 465.78643799]",0,40.57551025390625,"[445.25463867 454.99752808 457.5378418  459.02218628 465.78643799
 464.47143555]",False
79,"[445.25463867 454.99752808 457.5378418  459.02218628 465.78643799
 464.47143555]",1,-9.21501708984375,"[454.99752808 457.5378418  459.02218628 465.78643799 464.47143555
 457.796875  ]",False
80,"[454.99752808 457.5378418  459.02218628 465.78643799 464.47143555
 457.796875  ]",1,-46.721923828125,"[457.5378418  459.02218628 465.78643799 464.47143555 457.796875
 464.48141479]",False
81,"[457.5378418  459.02218628 465.78643799 464.47143555 457.796875
 464.48141479]",2,46.78177856445313,"[459.02218628 465.78643799 464.47143555 457.796875   464.48141479
 452.97521973]",False
82,"[459.02218628 465.78643799 464.47143555 457.796875   464.48141479
 452.97521973]",1,-69.04717041015626,"[465.78643799 464.47143555 457.796875   464.48141479 452.97521973
 451.82955933]",False
83,"[465.78643799 464.47143555 457.796875   464.48141479 452.97521973
 451.82955933]",0,-6.88396240234375,"[464.47143555 457.796875   464.48141479 452.97521973 451.82955933
 452.23803711]",False
84,"[464.47143555 457.796875   464.48141479 452.97521973 451.82955933
 452.23803711]",2,2.839344482421875,"[457.796875   464.48141479 452.97521973 451.82955933 452.23803711
 447.81488037]",False
85,"[457.796875   464.48141479 452.97521973 451.82955933 452.23803711
 447.81488037]",2,-26.5389404296875,"[464.48141479 452.97521973 451.82955933 452.23803711 447.81488037
 441.83761597]",False
86,"[464.48141479 452.97521973 451.82955933 452.23803711 447.81488037
 441.83761597]",1,-29.896322021484377,"[452.97521973 451.82955933 452.23803711 447.81488037 441.83761597
 438.69958496]",False
87,"[452.97521973 451.82955933 452.23803711 447.81488037 441.83761597
 438.69958496]",0,-15.700155029296875,"[451.82955933 452.23803711 447.81488037 441.83761597 438.69958496
 435.45193481]",False
88,"[451.82955933 452.23803711 447.81488037 441.83761597 438.69958496
 435.45193481]",0,-19.48590087890625,"[452.23803711 447.81488037 441.83761597 438.69958496 435.45193481
 441.25982666]",False
89,"[452.23803711 447.81488037 441.83761597 438.69958496 435.45193481
 441.25982666]",0,40.655242919921875,"[447.81488037 441.83761597 438.69958496 435.45193481 441.25982666
 443.16259766]",False
90,"[447.81488037 441.83761597 438.69958496 435.45193481 441.25982666
 443.16259766]",1,15.21216796875,"[441.83761597 438.69958496 435.45193481 441.25982666 443.16259766
 427.27307129]",False
91,"[441.83761597 438.69958496 435.45193481 441.25982666 443.16259766
 427.27307129]",1,-127.1162109375,"[438.69958496 435.45193481 441.25982666 443.16259766 427.27307129
 416.81289673]",False
92,"[438.69958496 435.45193481 441.25982666 443.16259766 427.27307129
 416.81289673]",0,-83.691396484375,"[435.45193481 441.25982666 443.16259766 427.27307129 416.81289673
 423.65682983]",False
93,"[435.45193481 441.25982666 443.16259766 427.27307129 416.81289673
 423.65682983]",1,61.58539794921875,"[441.25982666 443.16259766 427.27307129 416.81289673 423.65682983
 425.11132812]",False
94,"[441.25982666 443.16259766 427.27307129 416.81289673 423.65682983
 425.11132812]",1,13.090484619140625,"[443.16259766 427.27307129 416.81289673 423.65682983 425.11132812
 421.3157959 ]",False
95,"[443.16259766 427.27307129 416.81289673 423.65682983 425.11132812
 421.3157959 ]",1,-34.1597900390625,"[427.27307129 416.81289673 423.65682983 425.11132812 421.3157959
 416.76312256]",True
96,"[400.7829895  408.16775513 402.63909912 402.48028564 410.97671509
 411.0362854 ]",1,0.0,"[408.16775513 402.63909912 402.48028564 410.97671509 411.0362854
 417.4284668 ]",False
97,"[408.16775513 402.63909912 402.48028564 410.97671509 411.0362854
 417.4284668 ]",0,-0.01,"[402.63909912 402.48028564 410.97671509 411.0362854  417.4284668
 412.17776489]",False
98,"[402.63909912 402.48028564 410.97671509 411.0362854  417.4284668
 412.17776489]",1,-5.260701904296875,"[402.48028564 410.97671509 411.0362854  417.4284668  412.17776489
 403.3041687 ]",False
99,"[402.48028564 410.97671509 411.0362854  417.4284668  412.17776489
 403.3041687 ]",1,-8.87359619140625,"[410.97671509 411.0362854  417.4284668  412.17776489 403.3041687
 407.20220947]",False
